#Number of Samples: 2
#Total Number of Reads: 639668
#S1	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G1_1/G1_1_1_G1_1_2_bracken_genuses.kraken2_report
#S2	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G2_1/G2_1_1_G2_1_2_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	S1_all	S1_lvl	S2_all	S2_lvl	lvl_type	taxid	name
0.0031	20	20	14	14	6	6	G	45525	            Oscillibacter
0.0027	17	17	8	8	9	9	G	45523	            Intestinimonas
0.0027	17	17	10	10	7	7	G	45530	            UCG-002
0.0019	12	12	4	4	8	8	G	45534	            V9D2013 group
0.0009	6	6	2	2	4	4	G	45522	            Flavonifractor
0.0008	5	5	4	4	1	1	G	45531	            UCG-003
0.0005	3	3	0	0	3	3	G	45533	            UCG-007
0.0220	141	0	61	0	80	0	F	45509	          Butyricicoccaceae
0.0108	69	69	13	13	56	56	G	45512	            UCG-009
0.0084	54	54	35	35	19	19	G	45511	            UCG-008
0.0023	15	15	12	12	3	3	G	45510	            Butyricicoccus
0.0023	15	0	9	0	6	0	F	45514	          Ethanoligenenaceae
0.0017	11	11	6	6	5	5	G	45517	            Incertae Sedis
0.0003	2	2	2	2	0	0	G	45515	            Acetanaerobacterium
0.0002	1	1	0	0	1	1	G	45518	            uncultured
0.0002	1	1	1	1	0	0	G	45516	            Ethanoligenens
0.0014	9	9	0	0	9	9	G	45519	          Hydrogenoanaerobacterium
0.5586	3573	0	1909	0	1664	0	O	45405	        Lachnospirales
0.5562	3558	0	1899	0	1659	0	F	45409	          Lachnospiraceae
0.0893	571	571	242	242	329	329	G	45476	            Roseburia
0.0730	467	467	217	217	250	250	G	45502	            uncultured
0.0444	284	284	183	183	101	101	G	45438	            Herbinix
0.0322	206	206	109	109	97	97	G	45422	            Blautia
0.0295	189	189	103	103	86	86	G	45454	            Lachnospiraceae NK4A136 group
0.0253	162	162	103	103	59	59	G	45453	            Lachnospiraceae NK3A20 group
0.0231	148	148	95	95	53	53	G	45446	            Lachnoclostridium
0.0192	123	123	56	56	67	67	G	45420	            Anaerostignum
0.0138	88	88	53	53	35	35	G	45482	            Tyzzerella
0.0134	86	86	50	50	36	36	G	45416	            Agathobacter
0.0128	82	82	43	43	39	39	G	45456	            Lachnospiraceae UCG-001
0.0122	78	78	48	48	30	30	G	45421	            Anaerostipes
0.0117	75	75	35	35	40	40	G	45459	            Lachnospiraceae UCG-004
0.0106	68	68	40	40	28	28	G	45498	            [Ruminococcus] torques group
0.0095	61	61	23	23	38	38	G	45439	            Hespellia
0.0094	60	60	22	22	38	38	G	45474	            Pseudobutyrivibrio
0.0073	47	47	18	18	29	29	G	45432	            Epulopiscium
0.0070	45	45	26	26	19	19	G	45460	            Lachnospiraceae UCG-006
0.0063	40	40	27	27	13	13	G	45494	            [Eubacterium] ventriosum group
0.0061	39	39	16	16	23	23	G	45462	            Lachnospiraceae UCG-008
0.0061	39	39	28	28	11	11	G	45429	            Coprococcus
0.0059	38	38	36	36	2	2	G	45436	            GCA-900066575
0.0055	35	35	22	22	13	13	G	45435	            Fusicatenibacter
0.0053	34	34	25	25	9	9	G	45430	            Dorea
0.0048	31	31	17	17	14	14	G	45497	            [Ruminococcus] gnavus group
0.0041	26	26	14	14	12	12	G	45464	            Lachnospiraceae UCG-010
0.0039	25	25	16	16	9	9	G	45423	            Butyrivibrio
0.0039	25	25	15	15	10	10	G	45496	            [Ruminococcus] gauvreauii group
0.0038	24	24	10	10	14	14	G	45449	            Lachnospiraceae FCS020 group
0.0038	24	24	17	17	7	7	G	45495	            [Eubacterium] xylanophilum group
0.0036	23	23	14	14	9	9	G	45468	            Marvinbryantia
0.0033	21	21	14	14	7	7	G	45451	            Lachnospiraceae NC2004 group
0.0030	19	19	4	4	15	15	G	45415	            Acetitomaculum
0.0027	17	17	11	11	6	6	G	45470	            Moryella
0.0027	17	17	11	11	6	6	G	45419	            Anaerosporobacter
0.0023	15	15	5	5	10	10	G	45465	            Lachnospiraceae XPB1014 group
0.0022	14	14	8	8	6	6	G	45431	            Eisenbergiella
0.0022	14	14	10	10	4	4	G	45481	            Tuzzerella
0.0022	14	14	11	11	3	3	G	45452	            Lachnospiraceae ND3007 group
0.0020	13	13	6	6	7	7	G	45466	            Lachnotalea
0.0019	12	12	12	12	0	0	G	45414	            Acetatifactor
0.0014	9	9	4	4	5	5	G	45480	            Syntrophococcus
0.0014	9	9	9	9	0	0	G	45411	            A2
0.0013	8	8	0	0	8	8	G	45447	            Lachnospira
0.0013	8	8	5	5	3	3	G	45461	            Lachnospiraceae UCG-007
0.0013	8	8	8	8	0	0	G	45492	            [Eubacterium] oxidoreducens group
0.0011	7	7	1	1	6	6	G	45478	            Shuttleworthia
0.0011	7	7	3	3	4	4	G	45491	            [Eubacterium] hallii group
0.0009	6	6	6	6	0	0	G	45434	            Frisingicoccus
0.0006	4	4	0	0	4	4	G	45448	            Lachnospiraceae AC2044 group
0.0006	4	4	1	1	3	3	G	45473	            Oribacterium
0.0006	4	4	2	2	2	2	G	45444	            Lachnoanaerobaculum
0.0006	4	4	4	4	0	0	G	45487	            [Bacteroides] pectinophilus group
0.0006	4	4	4	4	0	0	G	45489	            [Eubacterium] eligens group
0.0005	3	3	0	0	3	3	G	45493	            [Eubacterium] ruminantium group
0.0005	3	3	1	1	2	2	G	45475	            Robinsoniella
0.0005	3	3	3	3	0	0	G	45469	            Mobilitalea
0.0005	3	3	2	2	1	1	G	45418	            Anaerocolumna
0.0003	2	2	0	0	2	2	G	45463	            Lachnospiraceae UCG-009
0.0003	2	2	0	0	2	2	G	45424	            CAG-56
0.0003	2	2	2	2	0	0	G	45441	            Hungatella
0.0003	2	2	2	2	0	0	G	45457	            Lachnospiraceae UCG-002
0.0002	1	1	0	0	1	1	G	45479	            Stomatobaculum
0.0002	1	1	0	0	1	1	G	45455	            Lachnospiraceae NK4B4 group
0.0002	1	1	0	0	1	1	G	45427	            Catonella
0.0002	1	1	0	0	1	1	G	45443	            Johnsonella
0.0020	13	0	9	0	4	0	F	45406	          Defluviitaleaceae
0.0020	13	13	9	9	4	4	G	45408	            Defluviitaleaceae UCG-011
0.2720	1740	0	825	0	915	0	O	1863	        Clostridiales
0.2629	1682	0	798	0	884	0	F	25630	          Clostridiaceae
0.2290	1465	1465	693	693	772	772	G	45342	            Clostridium sensu stricto 1
0.0077	49	49	29	29	20	20	G	45365	            Sarcina
0.0069	44	44	16	16	28	28	G	45345	            Clostridium sensu stricto 12
0.0028	18	18	6	6	12	12	G	45357	            Clostridium sensu stricto 6
0.0017	11	11	6	6	5	5	G	45346	            Clostridium sensu stricto 13
0.0017	11	11	6	6	5	5	G	45364	            Proteiniclasticum
0.0016	10	10	4	4	6	6	G	45354	            Clostridium sensu stricto 3
0.0016	10	10	8	8	2	2	G	45344	            Clostridium sensu stricto 11
0.0014	9	9	7	7	2	2	G	45351	            Clostridium sensu stricto 18
0.0009	6	6	0	0	6	6	G	45348	            Clostridium sensu stricto 15
0.0009	6	6	2	2	4	4	G	45367	            uncultured
0.0009	6	6	2	2	4	4	G	45358	            Clostridium sensu stricto 7
0.0009	6	6	3	3	3	3	G	45356	            Clostridium sensu stricto 5
0.0009	6	6	2	2	4	4	G	45353	            Clostridium sensu stricto 2
0.0005	3	3	1	1	2	2	G	45362	            Hathewaya
0.0005	3	3	3	3	0	0	G	45349	            Clostridium sensu stricto 16
0.0003	2	2	2	2	0	0	G	45359	            Clostridium sensu stricto 8
0.0002	1	1	0	0	1	1	G	45350	            Clostridium sensu stricto 17
0.0002	1	1	0	0	1	1	G	45341	            Candidatus Arthromitus
0.0002	1	1	1	1	0	0	G	45361	            Haloimpatiens
0.0059	38	0	15	0	23	0	F	45333	          Caloramatoraceae
0.0036	23	23	9	9	14	14	G	45334	            Caloramator
0.0013	8	8	2	2	6	6	G	45337	            Fonticella
0.0005	3	3	1	1	2	2	G	45339	            uncultured
0.0003	2	2	2	2	0	0	G	45338	            Thermobrachium
0.0028	18	0	11	0	7	0	F	45368	          Oxobacteraceae
0.0028	18	18	11	11	7	7	G	45369	            Oxobacter
0.0392	251	0	80	0	171	0	O	45563	        Peptococcales
0.0392	251	0	80	0	171	0	F	45564	          Peptococcaceae
0.0371	237	237	79	79	158	158	G	45569	            uncultured
0.0017	11	11	1	1	10	10	G	45568	            Peptococcus
0.0002	1	1	0	0	1	1	G	45565	            Dehalobacterium
0.0002	1	1	0	0	1	1	G	45566	            Desulfitispora
0.0289	185	0	110	0	75	0	O	45505	        Monoglobales
0.0289	185	0	110	0	75	0	F	45506	          Monoglobaceae
0.0289	185	185	110	110	75	75	G	45507	            Monoglobus
0.0136	87	0	36	0	51	0	O	45322	        Caldicoprobacterales
0.0136	87	0	36	0	51	0	F	45323	          Caldicoprobacteraceae
0.0136	87	87	36	36	51	51	G	45324	            Caldicoprobacter
0.0022	14	0	2	0	12	0	F	45385	        Gracilibacteraceae
0.0009	6	6	2	2	4	4	G	45387	          Lutispora
0.0006	4	4	0	0	4	4	G	45386	          Gracilibacter
0.0005	3	3	0	0	3	3	G	45388	          uncultured
0.0002	1	0	1	0	0	0	O	45664	        Thermincolales
0.0002	1	0	1	0	0	0	F	45665	          Thermincolaceae
0.0002	1	1	1	1	0	0	G	45666	            Thermincola
8.4372	53970	0	24201	0	29769	0	C	1673	      Bacilli
4.3340	27723	0	15530	0	12193	0	O	45148	        Acholeplasmatales
4.3340	27723	0	15530	0	12193	0	F	45149	          Acholeplasmataceae
4.3235	27656	27656	15499	15499	12157	12157	G	45150	            Acholeplasma
0.0095	61	61	28	28	33	33	G	45152	            Candidatus Phytoplasma
0.0005	3	3	2	2	1	1	G	45151	            Anaeroplasma
0.0002	1	1	0	0	1	1	G	45155	            EUB33-2
1.7456	11166	0	3711	0	7455	0	O	45200	        Erysipelotrichales
1.6721	10696	0	3568	0	7128	0	F	45201	          Erysipelatoclostridiaceae
1.6518	10566	10566	3503	3503	7063	7063	G	45212	            UCG-004
0.0042	27	27	19	19	8	8	G	45207	            Erysipelatoclostridium
0.0038	24	24	8	8	16	16	G	45202	            Asteroleplasma
0.0034	22	22	12	12	10	10	G	45204	            Catenibacterium
0.0028	18	18	9	9	9	9	G	45209	            Erysipelotrichaceae UCG-003
0.0027	17	17	3	3	14	14	G	45208	            Erysipelotrichaceae UCG-002
0.0014	9	9	3	3	6	6	G	45205	            Coprobacillus
0.0009	6	6	6	6	0	0	G	45213	            uncultured
0.0005	3	3	2	2	1	1	G	45211	            Sharpea
0.0733	469	0	143	0	326	0	F	45214	          Erysipelotrichaceae
0.0356	228	228	28	28	200	200	G	45221	            Erysipelothrix
0.0164	105	105	51	51	54	54	G	45233	            Solobacterium
0.0059	38	38	12	12	26	26	G	45234	            Turicibacter
0.0027	17	17	4	4	13	13	G	45238	            uncultured
0.0027	17	17	7	7	10	10	G	45236	            [Anaerorhabdus] furcosa group
0.0022	14	14	9	9	5	5	G	45226	            Faecalibaculum
0.0016	10	10	5	5	5	5	G	45235	            ZOR0006
0.0014	9	9	7	7	2	2	G	45222	            Erysipelotrichaceae UCG-006
0.0011	7	7	4	4	3	3	G	45223	            Erysipelotrichaceae UCG-007
0.0006	4	4	3	3	1	1	G	45229	            Holdemanella
0.0005	3	3	2	2	1	1	G	45220	            Dubosiella
0.0003	2	2	0	0	2	2	G	45219	            Dielma
0.0003	2	2	2	2	0	0	G	45237	            [Clostridium] innocuum group
0.0003	2	2	2	2	0	0	G	45225	            Erysipelotrichaceae UCG-009
0.0003	2	2	2	2	0	0	G	45231	            Ileibacterium
1.6624	10634	0	3102	0	7532	0	O	45284	        Staphylococcales
1.6615	10628	0	3097	0	7531	0	F	45287	          Staphylococcaceae
1.6607	10623	10623	3093	3093	7530	7530	G	45295	            Staphylococcus
0.0008	5	5	4	4	1	1	G	45291	            Jeotgalicoccus
0.0008	5	0	4	0	1	0	F	45285	          Gemellaceae
0.0008	5	5	4	4	1	1	G	45286	            Gemella
0.4606	2946	0	1269	0	1677	0	O	1800	        Lactobacillales
0.3713	2375	0	994	0	1381	0	F	1836	          Lactobacillaceae
0.2212	1415	1415	607	607	808	808	G	50156	            Lentilactobacillus
0.0320	205	205	69	69	136	136	G	50153	            Lactiplantibacillus
0.0208	133	133	47	47	86	86	G	1837	            Lactobacillus
0.0189	121	121	49	49	72	72	G	50160	            Limosilactobacillus
0.0188	120	120	58	58	62	62	G	50155	            Latilactobacillus
0.0094	60	60	32	32	28	28	G	50152	            Lacticaseibacillus
0.0089	57	57	27	27	30	30	G	50158	            Levilactobacillus
0.0067	43	43	0	0	43	43	G	50143	            Apilactobacillus
0.0059	38	38	23	23	15	15	G	50161	            Liquorilactobacillus
0.0055	35	35	14	14	21	21	G	50145	            Companilactobacillus
0.0050	32	32	19	19	13	13	G	50159	            Ligilactobacillus
0.0047	30	30	8	8	22	22	G	50168	            Weissella
0.0028	18	18	6	6	12	12	G	50167	            Secundilactobacillus
0.0023	15	15	11	11	4	4	G	1838	            Pediococcus
0.0017	11	11	5	5	6	6	G	50157	            Leuconostoc
0.0014	9	9	5	5	4	4	G	50162	            Loigolactobacillus
0.0008	5	5	3	3	2	2	G	50165	            Paucilactobacillus
0.0006	4	4	0	0	4	4	G	50150	            HT002
0.0005	3	3	0	0	3	3	G	50169	            uncultured
0.0003	2	2	1	1	1	1	G	50147	            Fructilactobacillus
0.0002	1	1	1	1	0	0	G	50144	            Bombilactobacillus
0.0467	299	0	163	0	136	0	F	1850	          Streptococcaceae
0.0428	274	274	154	154	120	120	G	1853	            Streptococcus
0.0027	17	17	4	4	13	13	G	1851	            Lactococcus
0.0008	5	5	3	3	2	2	G	1852	            Lactovum
0.0264	169	0	69	0	100	0	F	1828	          Enterococcaceae
0.0264	169	169	69	69	100	100	G	1831	            Enterococcus
0.0128	82	0	31	0	51	0	F	1811	          Carnobacteriaceae
0.0030	19	19	0	0	19	19	G	1826	            Trichococcus
0.0027	17	17	7	7	10	10	G	11279	            Jeotgalibaca
0.0023	15	15	10	10	5	5	G	1820	            Dolosigranulum
0.0017	11	11	4	4	7	7	G	1814	            Alloiococcus
0.0016	10	10	2	2	8	8	G	1821	            Granulicatella
0.0006	4	4	4	4	0	0	G	1818	            Carnobacterium
0.0003	2	2	2	2	0	0	G	1825	            Pisciglobus
0.0002	1	1	0	0	1	1	G	1813	            Allofustis
0.0013	8	0	4	0	4	0	F	1802	          Aerococcaceae
0.0006	4	4	1	1	3	3	G	1805	            Dolosicoccus
0.0002	1	1	0	0	1	1	G	1803	            Abiotrophia
0.0002	1	1	1	1	0	0	G	1807	            Facklamia
0.0002	1	1	1	1	0	0	G	1810	            uncultured
0.0011	7	0	5	0	2	0	F	45256	          Listeriaceae
0.0009	6	6	4	4	2	2	G	45258	            Listeria
0.0002	1	1	1	1	0	0	G	45257	            Brochothrix
0.1640	1049	0	479	0	570	0	O	1674	        Bacillales
0.1393	891	0	408	0	483	0	F	1680	          Bacillaceae
0.1204	770	770	351	351	419	419	G	1688	            Bacillus
0.0077	49	49	25	25	24	24	G	1686	            Anoxybacillus
0.0048	31	31	12	12	19	19	G	1696	            Geobacillus
0.0014	9	9	3	3	6	6	G	1728	            Vulcanibacillus
0.0006	4	4	1	1	3	3	G	1681	            Aeribacillus
0.0006	4	4	2	2	2	2	G	1690	            Caldibacillus
0.0005	3	3	2	2	1	1	G	1727	            Virgibacillus
0.0003	2	2	0	0	2	2	G	1729	            uncultured
0.0003	2	2	2	2	0	0	G	1707	            Oceanobacillus
0.0003	2	2	2	2	0	0	G	1698	            Gracilibacillus
0.0002	1	1	0	0	1	1	G	1726	            Ureibacillus
0.0002	1	1	0	0	1	1	G	1694	            Fictibacillus
0.0002	1	1	1	1	0	0	G	1700	            Halobacillus
0.0002	1	1	1	1	0	0	G	11269	            Thermolongibacillus
0.0002	1	1	1	1	0	0	G	1685	            Anaerobacillus
0.0170	109	0	58	0	51	0	F	1753	          Planococcaceae
0.0044	28	28	12	12	16	16	G	1762	            Lysinibacillus
0.0038	24	24	15	15	9	9	G	1764	            Planococcus
0.0036	23	23	9	9	14	14	G	1761	            Kurthia
0.0019	12	12	10	10	2	2	G	1767	            Solibacillus
0.0006	4	4	2	2	2	2	G	1768	            Sporosarcina
0.0005	3	3	2	2	1	1	G	1763	            Paenisporosarcina
0.0003	2	2	1	1	1	1	G	1770	            uncultured
0.0003	2	2	1	1	1	1	G	1754	            Bhargavaea
0.0002	1	1	0	0	1	1	G	11273	            Psychrobacillus
0.0002	1	1	1	1	0	0	G	1769	            Viridibacillus
0.0038	24	0	6	0	18	0	F	45175	          Salisediminibacteriaceae
0.0033	21	21	6	6	15	15	G	45177	            Salipaludibacillus
0.0003	2	2	0	0	2	2	G	45178	            Salisediminibacterium
0.0036	23	0	6	0	17	0	F	1771	          Sporolactobacillaceae
0.0033	21	21	6	6	15	15	G	1773	            Sporolactobacillus
0.0002	1	1	0	0	1	1	G	1774	            Tuberibacillus
0.0002	1	1	0	0	1	1	G	11275	            uncultured
0.0356	228	0	39	0	189	0	O	45270	        Paenibacillales
0.0356	228	0	39	0	189	0	F	45271	          Paenibacillaceae
0.0345	221	221	37	37	184	184	G	45277	            Paenibacillus
0.0011	7	7	2	2	5	5	G	45274	            Cohnella
0.0194	124	0	29	0	95	0	O	45246	        Izemoplasmatales
0.0194	124	0	29	0	95	0	F	45247	          Izemoplasmataceae
0.0194	124	124	29	29	95	95	G	45248	            Izimaplasma
0.0039	25	0	6	0	19	0	O	45158	        Alicyclobacillales
0.0039	25	0	6	0	19	0	F	45159	          Alicyclobacillaceae
0.0020	13	13	1	1	12	12	G	45163	            Tumebacillus
0.0016	10	10	5	5	5	5	G	45161	            Alicyclobacillus
0.0003	2	2	0	0	2	2	G	45160	            Acidibacillus
0.0025	16	0	6	0	10	0	O	45240	        Exiguobacterales
0.0025	16	0	6	0	10	0	F	45241	          Exiguobacteraceae
0.0025	16	16	6	6	10	10	G	45242	            Exiguobacterium
0.0025	16	0	7	0	9	0	O	45189	        Entomoplasmatales
0.0013	8	0	2	0	6	0	F	45191	          Entomoplasmataceae
0.0013	8	8	2	2	6	6	G	45193	            Mesoplasma
0.0009	6	0	3	0	3	0	F	45195	          Entomoplasmatales Incertae Sedis
0.0009	6	6	3	3	3	3	G	45196	            Candidatus Hepatoplasma
0.0003	2	0	2	0	0	0	F	45197	          Spiroplasmataceae
0.0003	2	2	2	2	0	0	G	45198	            Spiroplasma
0.0020	13	0	9	0	4	0	O	45249	        Kyrpidiales
0.0020	13	0	9	0	4	0	F	45250	          Kyrpidiaceae
0.0020	13	13	9	9	4	4	G	45251	            Kyrpidia
0.0014	9	0	6	0	3	0	O	45263	        Mycoplasmatales
0.0014	9	0	6	0	3	0	F	45264	          Mycoplasmataceae
0.0014	9	9	6	6	3	3	G	45267	            Mycoplasma
0.0008	5	0	0	0	5	0	O	45300	        Thermoactinomycetales
0.0008	5	0	0	0	5	0	F	45301	          Thermoactinomycetaceae
0.0003	2	2	0	0	2	2	G	45314	            Planifilum
0.0002	1	1	0	0	1	1	G	45319	            Thermoactinomyces
0.0002	1	1	0	0	1	1	G	45310	            Mechercharimyces
0.0002	1	1	0	0	1	1	G	45313	            Pasteuria
0.0006	4	0	2	0	2	0	O	45180	        Brevibacillales
0.0006	4	0	2	0	2	0	F	45181	          Brevibacillaceae
0.0006	4	4	2	2	2	2	G	45182	            Brevibacillus
0.0005	3	0	2	0	1	0	O	45296	        Thermicanales
0.0005	3	0	2	0	1	0	F	45297	          Thermicanaceae
0.0003	2	2	1	1	1	1	G	45299	            Thermicanus
